tid,tournament_name,start_date,month,raw_team,team_name,team_key,player_1,player_2,deck_1,deck_2,deck_url_1,deck_url_2,deck_name_pt_1,deck_name_pt_2,deck_name_en_1,deck_name_en_2,colecao_1,colecao_2,map_status,missing_players,missing_decks,notes
liga-2x2-online-s1-e01,,,,Carbeauty & Andressa,Andressa & Carbeauty,andressa & carbeauty,Carbeauty,Andressa,Blight Curse,Counter Blitz,https://moxfield.com/decks/dDoe4mrTwEWH0sP2H7WH4A,https://moxfield.com/decks/sDazpxFOb0S9IAdQSA_7lg,Blight Curse,Counter Blitz,Blight Curse,Counter Blitz,Lorwyn Eclipsed,Final Fantasy,manual,0,0,importado de planilha
liga-2x2-online-s1-e01,,,,Marcos Sartori & Bauer,Bauer & Marcos Sartori,bauer & marcos sartori,Marcos Sartori,Bauer,Counter Blitz,Influência Corruptora,https://moxfield.com/decks/sDazpxFOb0S9IAdQSA_7lg,https://moxfield.com/decks/wRdT-auSDE6XcMJPM0aHDA,Counter Blitz,Influência Corruptora,Counter Blitz,Corrupting Influence,Final Fantasy,Phyrexia: All Will Be One,manual,0,0,importado de planilha
liga-2x2-online-s1-e01,,,,Reva & Boone,Boone & Reva,boone & reva,Reva,Boone,Dance of the Elements,Animated Army,https://moxfield.com/decks/Z9GXwZyiKkOfR3O5m1rEkw,https://moxfield.com/decks/IZBQnOST_kWlQtqytb75rg,Dance of the Elements,Animated Army,Dance of the Elements,Animated Army,Lorwyn Eclipsed,Bloomburrow,manual,0,0,importado de planilha
liga-2x2-online-s1-e01,,,,Chueiry & Vicente,Chueiry & Vicente,chueiry & vicente,Chueiry,Vicente,Temur Roar,Angels: They're Just Like Us but Cooler and With Wings,https://moxfield.com/decks/sao-2xrGqUCIfv46edPgmw,https://moxfield.com/decks/Q3Wn5qhG0UWFaGIYEpmRjQ,Temur Roar,Angels: They're Just Like Us but Cooler and With Wings,Temur Roar,Angels: They're Just Like Us but Cooler and With Wings,Tarkir Dragonstorm,Secret Lair Commander Deck,manual,0,0,importado de planilha
liga-2x2-online-s1-e01,,,,Glauber & Erick,Erick & Glauber,erick & glauber,Glauber,Erick,Levante Entrópico,Dance of the Elements,https://moxfield.com/decks/s4Ex7br4q0iFcwYzq80M7w,https://moxfield.com/decks/Z9GXwZyiKkOfR3O5m1rEkw,Levante Entrópico,Dance of the Elements,Entropic Uprising,Dance of the Elements,Commander 2016,Lorwyn Eclipsed,manual,0,0,importado de planilha
liga-2x2-online-s1-e01,,,,Fabio & Luiz,Fabio & Luiz,fabio & luiz,Fabio,Luiz,Counter Blitz,Exploradores das Profundezas,https://moxfield.com/decks/sDazpxFOb0S9IAdQSA_7lg,https://moxfield.com/decks/SvrXYfEIn0q5EprNPf0mqQ,Counter Blitz,Exploradores das Profundezas,Counter Blitz,Explorers of the Deep,Final Fantasy,The Lost Caverns of Ixalan,manual,0,0,importado de planilha
liga-2x2-online-s1-e01,,,,Felipe Familiar & Langa,Felipe Familiar & Langa,felipe familiar & langa,Felipe Familiar,Langa,Blight Curse,Içar Velas,https://moxfield.com/decks/dDoe4mrTwEWH0sP2H7WH4A,https://moxfield.com/decks/2wB6WsbRwU-ZdNlWHu6VKg,Blight Curse,Içar Velas,Blight Curse,Ahoy Mateys,Lorwyn Eclipsed,The Lost Caverns of Ixalan,manual,0,0,importado de planilha
liga-2x2-online-s1-e01,,,,Martin & Jorel,Jorel & Martin,jorel & martin,Martin,Jorel,Jeskai Striker,Endless Punishment,https://moxfield.com/decks/GqSQ24NIJkq-144dkab-HQ,https://moxfield.com/decks/eg5J71BzAU-yctY6lRn12Q,Jeskai Striker,Endless Punishment,Jeskai Striker,Endless Punishment,Tarkir Dragonstorm,Duskmourn: House of Horror,manual,0,0,importado de planilha
liga-2x2-online-s1-e01,,,,Juliano & Mateus,Juliano & Mateus,juliano & mateus,Juliano,Mateus,Içar Velas,Virtude e Valor,https://moxfield.com/decks/2wB6WsbRwU-ZdNlWHu6VKg,https://moxfield.com/decks/Oo_99oH5K0ifS25Wzu5qLw,Içar Velas,Virtude e Valor,Ahoy Mateys,Virtue and Valor,The Lost Caverns of Ixalan,Wilds of Eldraine,manual,0,0,importado de planilha
liga-2x2-online-s1-e01,,,,Samuel & Thiago,Samuel & Thiago,samuel & thiago,Samuel,Thiago,Most Wanted,Masmorras da Morte,https://moxfield.com/decks/ln4DVjJZIUau9OnrwJgTWw,https://moxfield.com/decks/CmXsAJpFak2_daWDYx4OPQ,Most Wanted,Masmorras da Morte,Most Wanted,Dungeons of Death,Outlaws of Thunder Junction,Dungeons and Dragons: Adventures in the Forgotten Realms,manual,0,0,importado de planilha
liga-2x2-online-s1-e02,,,,Marcos Sartori & Arthur Sartori,Arthur Sartori & Marcos Sartori,arthur sartori & marcos sartori,Marcos Sartori,Arthur Sartori,Temur Roar,Veloci-E-Rápido,https://moxfield.com/decks/sao-2xrGqUCIfv46edPgmw,https://moxfield.com/decks/KcPWaLquLkmIOy3XsFHTqQ,Temur Roar,Veloci-E-Rápido,Temur Roar,Veloci-Ramp-Tor,Tarkir Dragonstorm,The Lost Caverns of Ixalan,manual,0,0,importado de planilha
liga-2x2-online-s1-e02,,,,Bauer & Langa,Bauer & Langa,bauer & langa,Bauer,Langa,Endless Punishment,Içar Velas,https://moxfield.com/decks/eg5J71BzAU-yctY6lRn12Q,https://moxfield.com/decks/2wB6WsbRwU-ZdNlWHu6VKg,Endless Punishment,Içar Velas,Endless Punishment,Ahoy Mateys,Duskmourn: House of Horror,The Lost Caverns of Ixalan,manual,0,0,importado de planilha
liga-2x2-online-s1-e02,,,,Reva & Boone,Boone & Reva,boone & reva,Reva,Boone,Creative Energy,Timey-Wimey,https://moxfield.com/decks/V896XG46-kuKTCBXImt5Cg,https://moxfield.com/decks/weR7hsL3Vk-I2qTNGqfK2w,Creative Energy,Timey-Wimey,Creative Energy,Timey-Wimey,Modern Horizons 3,Doctor Who,manual,0,0,importado de planilha
liga-2x2-online-s1-e02,,,,Carlos & Errejota,Carlos & Errejota,carlos & errejota,Carlos,Errejota,Temur Roar,Dance of the Elements,https://moxfield.com/decks/sao-2xrGqUCIfv46edPgmw,https://moxfield.com/decks/Z9GXwZyiKkOfR3O5m1rEkw,Temur Roar,Dance of the Elements,Temur Roar,Dance of the Elements,Tarkir Dragonstorm,Lorwyn Eclipsed,manual,0,0,importado de planilha
liga-2x2-online-s1-e02,,,,Chueiry & Vicente,Chueiry & Vicente,chueiry & vicente,Chueiry,Vicente,Dance of the Elements,Enxame Fractius,https://moxfield.com/decks/Z9GXwZyiKkOfR3O5m1rEkw,https://moxfield.com/decks/dnY2YPlJtkalYCkLZ9Q0YQ,Dance of the Elements,Enxame Fractius,Dance of the Elements,Sliver Swarm,Lorwyn Eclipsed,Commander Masters,manual,0,0,importado de planilha
liga-2x2-online-s1-e02,,,,Erick & Fábio,Erick & Fabio,erick & fabio,Erick,Fabio,Counter Blitz,Exploradores das Profundezas,https://moxfield.com/decks/sDazpxFOb0S9IAdQSA_7lg,https://moxfield.com/decks/SvrXYfEIn0q5EprNPf0mqQ,Counter Blitz,Exploradores das Profundezas,Counter Blitz,Explorers of the Deep,Final Fantasy,The Lost Caverns of Ixalan,manual,0,0,importado de planilha
liga-2x2-online-s1-e02,,,,Gustavo Dias & Udo,Gustavo Dias & Udo,gustavo dias & udo,Gustavo Dias,Udo,Ferocidade Felina,Pedido de Apoio,https://moxfield.com/decks/T9XdORiOPky0VSmV63hoKA,https://moxfield.com/decks/tqa1AHW1_0WhE-TvWKD1Ng,Ferocidade Felina,Pedido de Apoio,Feline Ferocity,Call for Backup,Commander 2017,March of the Machine,manual,0,0,importado de planilha
liga-2x2-online-s1-e02,,,,Jorel & Martin,Jorel & Martin,jorel & martin,Jorel,Martin,Domínio das Fadinas,Jeskai Striker,https://moxfield.com/decks/ErDyBjAnKE6l5TqX6wMxdg,https://moxfield.com/decks/GqSQ24NIJkq-144dkab-HQ,Domínio das Fadinas,Jeskai Striker,Fae Dominion,Jeskai Striker,Wilds of Eldraine,Tarkir Dragonstorm,manual,0,0,importado de planilha
liga-2x2-online-s1-e02,,,,Vande & Joao Marmentini,João Marmentini & Vande,joao marmentini & vande,Vande,João Marmentini,Counter Blitz,Virtude e Valor,https://moxfield.com/decks/sDazpxFOb0S9IAdQSA_7lg,https://moxfield.com/decks/Oo_99oH5K0ifS25Wzu5qLw,Counter Blitz,Virtude e Valor,Counter Blitz,Virtue and Valor,Final Fantasy,Wilds of Eldraine,manual,0,0,importado de planilha
liga-2x2-online-s1-e02,,,,Juliano & Mateus,Juliano & Mateus,juliano & mateus,Juliano,Mateus,Içar Velas,Virtude e Valor,https://moxfield.com/decks/2wB6WsbRwU-ZdNlWHu6VKg,https://moxfield.com/decks/Oo_99oH5K0ifS25Wzu5qLw,Içar Velas,Virtude e Valor,Ahoy Mateys,Virtue and Valor,The Lost Caverns of Ixalan,Wilds of Eldraine,manual,0,0,importado de planilha
liga-2x2-online-s1-e02,,,,Marcelo & Samuel,Marcelo & Samuel,marcelo & samuel,Marcelo,Samuel,Dance of the Elements,Endless Punishment,https://moxfield.com/decks/Z9GXwZyiKkOfR3O5m1rEkw,https://moxfield.com/decks/eg5J71BzAU-yctY6lRn12Q,Dance of the Elements,Endless Punishment,Dance of the Elements,Endless Punishment,Lorwyn Eclipsed,Duskmourn: House of Horror,manual,0,0,importado de planilha
liga-2x2-online-s1-e02,,,,Samuel Maia & Thiago,Samuel & Thiago,samuel & thiago,Samuel,Thiago,Squirreled Away,Blight Curse,https://moxfield.com/decks/4xEJiagwvEGelJy9ojLtZA,https://moxfield.com/decks/dDoe4mrTwEWH0sP2H7WH4A,Squirreled Away,Blight Curse,Squirreled Away,Blight Curse,Bloomburrow,Lorwyn Eclipsed,manual,0,0,importado de planilha
liga-2x2-online-s1-e03,,,,Marcos Sartori & Arthur Sartori,Arthur Sartori & Marcos Sartori,arthur sartori & marcos sartori,Marcos Sartori,Arthur Sartori,Temur Roar,Veloci-E-Rápido,https://moxfield.com/decks/sao-2xrGqUCIfv46edPgmw,https://moxfield.com/decks/KcPWaLquLkmIOy3XsFHTqQ,Temur Roar,Veloci-E-Rápido,Temur Roar,Veloci-Ramp-Tor,Tarkir Dragonstorm,The Lost Caverns of Ixalan,manual,0,0,importado de planilha
liga-2x2-online-s1-e03,,,,Langa & Bauer,Bauer & Langa,bauer & langa,Langa,Bauer,Içar Velas,Temur Roar,https://moxfield.com/decks/2wB6WsbRwU-ZdNlWHu6VKg,https://moxfield.com/decks/sao-2xrGqUCIfv46edPgmw,Içar Velas,Temur Roar,Ahoy Mateys,Temur Roar,The Lost Caverns of Ixalan,Tarkir Dragonstorm,manual,0,0,importado de planilha
liga-2x2-online-s1-e03,,,,Fernando Boone & Reva,Boone & Reva,boone & reva,Boone,Reva,Creative Energy,Timey-Wimey,https://moxfield.com/decks/V896XG46-kuKTCBXImt5Cg,https://moxfield.com/decks/weR7hsL3Vk-I2qTNGqfK2w,Creative Energy,Timey-Wimey,Creative Energy,Timey-Wimey,Modern Horizons 3,Doctor Who,manual,0,0,importado de planilha
liga-2x2-online-s1-e03,,,,Vicente & Thiago Borini,Borini & Vicente,borini & vicente,Vicente,Borini,Enxame Fractius,Counter Blitz,https://moxfield.com/decks/dnY2YPlJtkalYCkLZ9Q0YQ,https://moxfield.com/decks/sDazpxFOb0S9IAdQSA_7lg,Enxame Fractius,Counter Blitz,Sliver Swarm,Counter Blitz,Commander Masters,Final Fantasy,manual,0,0,importado de planilha
liga-2x2-online-s1-e03,,,,Carlos & Errejota,Carlos & Errejota,carlos & errejota,Carlos,Errejota,Animated Army,Temur Roar,https://moxfield.com/decks/IZBQnOST_kWlQtqytb75rg,https://moxfield.com/decks/sao-2xrGqUCIfv46edPgmw,Animated Army,Temur Roar,Animated Army,Temur Roar,Bloomburrow,Tarkir Dragonstorm,manual,0,0,importado de planilha
liga-2x2-online-s1-e03,,,,Jorel & Martin,Jorel & Martin,jorel & martin,Jorel,Martin,Blight Curse,Counter Blitz,https://moxfield.com/decks/dDoe4mrTwEWH0sP2H7WH4A,https://moxfield.com/decks/sDazpxFOb0S9IAdQSA_7lg,Blight Curse,Counter Blitz,Blight Curse,Counter Blitz,Lorwyn Eclipsed,Final Fantasy,manual,0,0,importado de planilha
liga-2x2-online-s1-e03,,,,Vande & João Marmentini,João Marmentini & Vande,joao marmentini & vande,Vande,João Marmentini,Scions & Spellcraft,Endless Punishment,https://moxfield.com/decks/r_IFt9Gc3UqaULfoAEjVvg,https://moxfield.com/decks/eg5J71BzAU-yctY6lRn12Q,Scions & Spellcraft,Endless Punishment,Scions & Spellcraft,Endless Punishment,Final Fantasy,Duskmourn: House of Horror,manual,0,0,importado de planilha
liga-2x2-online-s1-e03,,,,Mateus & Juliano,Juliano & Mateus,juliano & mateus,Mateus,Juliano,Içar Velas,Graveyard Overdrive,https://moxfield.com/decks/2wB6WsbRwU-ZdNlWHu6VKg,https://moxfield.com/decks/kQGUOyS7CkKBgvxiu3FHfQ,Içar Velas,Graveyard Overdrive,Ahoy Mateys,Graveyard Overdrive,The Lost Caverns of Ixalan,Modern Horizons 3,manual,0,0,importado de planilha
liga-2x2-online-s1-e04,,,,Andressa & Carlindo,Andressa & Carlindo,andressa & carlindo,Andressa,Carlindo,Dance of the Elements,Festa dos Planeswalker,https://moxfield.com/decks/Z9GXwZyiKkOfR3O5m1rEkw,https://moxfield.com/decks/BYtodI0bP02r4z6UCkNkOg,Dance of the Elements,Festa dos Planeswalker,Dance of the Elements,Planeswalker Party,Lorwyn Eclipsed,Commander Masters,manual,0,0,importado de planilha
liga-2x2-online-s1-e04,,,,Marcos Sartori & Arthur Sartori,Arthur Sartori & Marcos Sartori,arthur sartori & marcos sartori,Marcos Sartori,Arthur Sartori,Festa dos Planeswalker,Scions & Spellcraft,https://moxfield.com/decks/BYtodI0bP02r4z6UCkNkOg,https://moxfield.com/decks/r_IFt9Gc3UqaULfoAEjVvg,Festa dos Planeswalker,Scions & Spellcraft,Planeswalker Party,Scions & Spellcraft,Commander Masters,Final Fantasy,manual,0,0,importado de planilha
liga-2x2-online-s1-e04,,,,Bauer & Langa,Bauer & Langa,bauer & langa,Bauer,Langa,Temur Roar,Içar Velas,https://moxfield.com/decks/sao-2xrGqUCIfv46edPgmw,https://moxfield.com/decks/2wB6WsbRwU-ZdNlWHu6VKg,Temur Roar,Içar Velas,Temur Roar,Ahoy Mateys,Tarkir Dragonstorm,The Lost Caverns of Ixalan,manual,0,0,importado de planilha
liga-2x2-online-s1-e04,,,,Boone & Reva,Boone & Reva,boone & reva,Boone,Reva,Scions & Spellcraft,Eternal Might,https://moxfield.com/decks/r_IFt9Gc3UqaULfoAEjVvg,https://moxfield.com/decks/ULyYbD7SNUS3Z4EM-QnE-A,Scions & Spellcraft,Eternal Might,Scions & Spellcraft,Eternal Might,Final Fantasy,Aetherdrift,manual,0,0,importado de planilha
liga-2x2-online-s1-e04,,,,Rafael & Carlos,Carlos & Errejota,carlos & errejota,Errejota,Carlos,Animated Army,Temur Roar,https://moxfield.com/decks/IZBQnOST_kWlQtqytb75rg,https://moxfield.com/decks/sao-2xrGqUCIfv46edPgmw,Animated Army,Temur Roar,Animated Army,Temur Roar,Bloomburrow,Tarkir Dragonstorm,manual,0,0,importado de planilha
liga-2x2-online-s1-e04,,,,Chueiry & Vicente,Chueiry & Vicente,chueiry & vicente,Chueiry,Vicente,,,,,,,,,,,manual,0,1,importado de planilha
liga-2x2-online-s1-e04,,,,Glauber & João Marmentini,Glauber & João Marmentini,glauber & joao marmentini,Glauber,João Marmentini,Ameaça sem Rosto,Virtude e Valor,https://moxfield.com/decks/LCH-fa6KIUmzfF-ul72Ucw,https://moxfield.com/decks/Oo_99oH5K0ifS25Wzu5qLw,Ameaça sem Rosto,Virtude e Valor,Faceless Menace,Virtue and Valor,Commander 2019,Wilds of Eldraine,manual,0,0,importado de planilha
liga-2x2-online-s1-e04,,,,Jorel & Martin,Jorel & Martin,jorel & martin,Jorel,Martin,,,,,,,,,,,manual,0,1,importado de planilha
liga-2x2-online-s1-e04,,,,Mateus & Juliano,Juliano & Mateus,juliano & mateus,Mateus,Juliano,Turtle Power!,Içar Velas,https://moxfield.com/decks/igKb7qATmkmYaX3M7hB4Sg,https://moxfield.com/decks/2wB6WsbRwU-ZdNlWHu6VKg,Turtle Power!,Içar Velas,Turtle Power!,Ahoy Mateys,Teenage Mutant Ninja Turtles,The Lost Caverns of Ixalan,manual,0,0,importado de planilha
liga-2x2-online-s1-e04,,,,Zangalli & Zangalli pai,Zangalli & Zangalli pai,zangalli & zangalli pai,Zangalli,Zangalli pai,,,,,,,,,,,manual,0,1,importado de planilha
liga-2x2-online-s1-e05,,,,Vicente & Andressa,Andressa & Vicente,andressa & vicente,Vicente,Andressa,Turtle Power!,Counter Blitz,https://moxfield.com/decks/igKb7qATmkmYaX3M7hB4Sg,https://moxfield.com/decks/sDazpxFOb0S9IAdQSA_7lg,Turtle Power!,Counter Blitz,Turtle Power!,Counter Blitz,Teenage Mutant Ninja Turtles,Final Fantasy,manual,0,0,importado de planilha
liga-2x2-online-s1-e05,,,,Bauer & Langa,Bauer & Langa,bauer & langa,Bauer,Langa,Temur Roar,Içar Velas,https://moxfield.com/decks/sao-2xrGqUCIfv46edPgmw,https://moxfield.com/decks/2wB6WsbRwU-ZdNlWHu6VKg,Temur Roar,Içar Velas,Temur Roar,Ahoy Mateys,Tarkir Dragonstorm,The Lost Caverns of Ixalan,manual,0,0,importado de planilha
liga-2x2-online-s1-e05,,,,Reva & Boone,Boone & Reva,boone & reva,Reva,Boone,"Ave, Caesar",Festa dos Planeswalker,https://moxfield.com/decks/a6xg5ghnH0C-IB5PPqTZBQ,https://moxfield.com/decks/BYtodI0bP02r4z6UCkNkOg,"Ave, Caesar",Festa dos Planeswalker,"Hail, Caesar",Planeswalker Party,Fallout,Commander Masters,manual,0,0,importado de planilha
liga-2x2-online-s1-e05,,,,Cássio & Carlos,Carlos & Cássio,carlos & cassio,Cássio,Carlos,Animated Army,Festa dos Planeswalker,https://moxfield.com/decks/IZBQnOST_kWlQtqytb75rg,https://moxfield.com/decks/BYtodI0bP02r4z6UCkNkOg,Animated Army,Festa dos Planeswalker,Animated Army,Planeswalker Party,Bloomburrow,Commander Masters,manual,0,0,importado de planilha
liga-2x2-online-s1-e05,,,,Dellani & Martin,Dellani & Martin,dellani & martin,Dellani,Martin,Turtle Power!,Counter Blitz,https://moxfield.com/decks/igKb7qATmkmYaX3M7hB4Sg,https://moxfield.com/decks/sDazpxFOb0S9IAdQSA_7lg,Turtle Power!,Counter Blitz,Turtle Power!,Counter Blitz,Teenage Mutant Ninja Turtles,Final Fantasy,manual,0,0,importado de planilha
liga-2x2-online-s1-e05,,,,Vande & João Marmentini,João Marmentini & Vande,joao marmentini & vande,Vande,João Marmentini,Squirreled Away,Endless Punishment,https://moxfield.com/decks/4xEJiagwvEGelJy9ojLtZA,https://moxfield.com/decks/eg5J71BzAU-yctY6lRn12Q,Squirreled Away,Endless Punishment,Squirreled Away,Endless Punishment,Bloomburrow,Duskmourn: House of Horror,manual,0,0,importado de planilha
liga-2x2-online-s1-e05,,,,Mateus & Juliano,Juliano & Mateus,juliano & mateus,Mateus,Juliano,Turtle Power!,Içar Velas,https://moxfield.com/decks/igKb7qATmkmYaX3M7hB4Sg,https://moxfield.com/decks/2wB6WsbRwU-ZdNlWHu6VKg,Turtle Power!,Içar Velas,Turtle Power!,Ahoy Mateys,Teenage Mutant Ninja Turtles,The Lost Caverns of Ixalan,manual,0,0,importado de planilha
liga-2x2-online-s1-e05,,,,Zangas & Vina,Vina & Zangas,vina & zangas,Zangas,Vina,Turtle Power!,Counter Blitz,https://moxfield.com/decks/igKb7qATmkmYaX3M7hB4Sg,https://moxfield.com/decks/sDazpxFOb0S9IAdQSA_7lg,Turtle Power!,Counter Blitz,Turtle Power!,Counter Blitz,Teenage Mutant Ninja Turtles,Final Fantasy,manual,0,0,importado de planilha
liga-2x2-online-s2-e1,,,,Marcos Sartori & Arthur Sartori,Arthur Sartori & Marcos Sartori,arthur sartori & marcos sartori,Marcos Sartori,Arthur Sartori,Festa dos Planeswalker,Scions & Spellcraft,https://moxfield.com/decks/BYtodI0bP02r4z6UCkNkOg,https://moxfield.com/decks/r_IFt9Gc3UqaULfoAEjVvg,Festa dos Planeswalker,Scions & Spellcraft,Planeswalker Party,Scions & Spellcraft,Commander Masters,Final Fantasy,manual,0,0,importado de planilha
liga-2x2-online-s2-e1,,,,Boone & Reva,Boone & Reva,boone & reva,Boone,Reva,Içar Velas,"Ave, Caesar",https://moxfield.com/decks/2wB6WsbRwU-ZdNlWHu6VKg,https://moxfield.com/decks/a6xg5ghnH0C-IB5PPqTZBQ,Içar Velas,"Ave, Caesar",Ahoy Mateys,"Hail, Caesar",The Lost Caverns of Ixalan,Fallout,manual,0,0,importado de planilha
liga-2x2-online-s2-e1,,,,Chueiry & Vicente,Chueiry & Vicente,chueiry & vicente,Chueiry,Vicente,Festa dos Planeswalker,Turtle Power!,https://moxfield.com/decks/BYtodI0bP02r4z6UCkNkOg,https://moxfield.com/decks/igKb7qATmkmYaX3M7hB4Sg,Festa dos Planeswalker,Turtle Power!,Planeswalker Party,Turtle Power!,Commander Masters,Teenage Mutant Ninja Turtles,manual,0,0,importado de planilha
liga-2x2-online-s2-e1,,,,Erick & Rogério Nascimento,Erick & Rogério Nascimento,erick & rogerio nascimento,Erick,Rogério Nascimento,Limit Break,World Shaper,https://moxfield.com/decks/pTUR6p0yNkOoxDNqo8TMEw,https://moxfield.com/decks/n04yWsMGvUCmMQ8ImxJ_0A,Limit Break,World Shaper,Limit Break,World Shaper,Final Fantasy,Edge of Eternities,manual,0,0,importado de planilha
liga-2x2-online-s2-e1,,,,Martin & Jorel,Jorel & Martin,jorel & martin,Martin,Jorel,Counter Blitz,Turtle Power!,https://moxfield.com/decks/sDazpxFOb0S9IAdQSA_7lg,https://moxfield.com/decks/igKb7qATmkmYaX3M7hB4Sg,Counter Blitz,Turtle Power!,Counter Blitz,Turtle Power!,Final Fantasy,Teenage Mutant Ninja Turtles,manual,0,0,importado de planilha
liga-2x2-online-s2-e1,,,,Vande & Joao Marmentini,João Marmentini & Vande,joao marmentini & vande,Vande,João Marmentini,Içar Velas,Virtude e Valor,https://moxfield.com/decks/2wB6WsbRwU-ZdNlWHu6VKg,https://moxfield.com/decks/Oo_99oH5K0ifS25Wzu5qLw,Içar Velas,Virtude e Valor,Ahoy Mateys,Virtue and Valor,The Lost Caverns of Ixalan,Wilds of Eldraine,manual,0,0,importado de planilha
liga-2x2-online-s2-e1,,,,Mateus & Juliano,Juliano & Mateus,juliano & mateus,Mateus,Juliano,Jeskai Striker,Virtude e Valor,https://moxfield.com/decks/GqSQ24NIJkq-144dkab-HQ,https://moxfield.com/decks/Oo_99oH5K0ifS25Wzu5qLw,Jeskai Striker,Virtude e Valor,Jeskai Striker,Virtue and Valor,Tarkir Dragonstorm,Wilds of Eldraine,manual,0,0,importado de planilha
liga-2x2-online-s2-e2,,,,Marcos Sartori & Arthur Sartori,Arthur Sartori & Marcos Sartori,arthur sartori & marcos sartori,Marcos Sartori,Arthur Sartori,Festa dos Planeswalker,Scions & Spellcraft,https://moxfield.com/decks/BYtodI0bP02r4z6UCkNkOg,https://moxfield.com/decks/r_IFt9Gc3UqaULfoAEjVvg,Festa dos Planeswalker,Scions & Spellcraft,Planeswalker Party,Scions & Spellcraft,Commander Masters,Final Fantasy,manual,0,0,importado de planilha
liga-2x2-online-s2-e2,,,,Bauer & Langa,Bauer & Langa,bauer & langa,Bauer,Langa,Scions & Spellcraft,Içar Velas,https://moxfield.com/decks/r_IFt9Gc3UqaULfoAEjVvg,https://moxfield.com/decks/2wB6WsbRwU-ZdNlWHu6VKg,Scions & Spellcraft,Içar Velas,Scions & Spellcraft,Ahoy Mateys,Final Fantasy,The Lost Caverns of Ixalan,manual,0,0,importado de planilha
liga-2x2-online-s2-e2,,,,Bells & Greowtty,Bells & Greowtty,bells & greowtty,Bells,Greowtty,Virtude e Valor,Masters of Evil,https://moxfield.com/decks/Oo_99oH5K0ifS25Wzu5qLw,https://moxfield.com/decks/9i25pXMDhES76C-1-gBZKA,Virtude e Valor,Masters of Evil,Virtue and Valor,Masters of Evil,Wilds of Eldraine,Doctor Who,manual,0,0,importado de planilha
